years_exp,search_last_name,swish_id,team_changed_at,hashtag,high_school,injury_notes,active,age,college,first_name,rotowire_id,player_id,injury_start_date,team,yahoo_id,injury_body_part,status,rotoworld_id,opta_id,search_first_name,weight,practice_participation,team_abbr,search_rank,full_name,search_full_name,news_updated,depth_chart_position,last_name,birth_state,gsis_id,birth_city,fantasy_data_id,fantasy_positions,injury_status,birth_date,practice_description,pandascore_id,height,position,number,oddsjam_id,sport,sportradar_id,competitions,espn_id,stats_id,birth_country,depth_chart_order,metadata.channel_id,metadata.rookie_year,metadata.years_exp_shift,metadata,metadata.source_id,metadata.override_active,metadata.injury_override_regular_2020_5,metadata.injury_override_regular_2024_6,metadata.name,metadata.injury_override_regular_2024_11,metadata.injury_override_regular_2024_3,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2021_3,metadata.injury_override_off_2021_0,metadata.injury_override_off_2025_0,metadata.injury_override_off_2025_1,metadata.injury_override_regular_2024_7,metadata.injury_override_regular_2024_10,metadata.injury_override_regular_2024_14,metadata.injury_override_regular_2024_12,metadata.injury_override_regular_2024_15,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2020_10,metadata.injury_override_post_2024_3,metadata.injury_override_regular_2024_9,metadata.injury_override_regular_2024_4,metadata.injury_override_regular_2021_4,metadata.injury_override_regular_2024_8,metadata.injury_override_regular_2024_17,metadata.injury_override_regular_2024_13
1.0,slavin,,,#tylerslavin-NFL-FA-13,,,False,26.0,New Mexico Highlands,Tyler,10861.0,2881,,,29002.0,,Inactive,,,tyler,215,,,9999999.0,Tyler Slavin,tylerslavin,,,Slavin,,,,17349.0,['WR'],,1992-01-29,,,"6'2""",WR,13.0,,nfl,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,[],2516911.0,542556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,lawrence,651780.0,,#demarcuslawrence-NFL-SEA-0,Silver Bluff (SC),,True,33.0,Boise State,DeMarcus,9344.0,2064,,SEA,27562.0,,Active,9633.0,,demarcus,254,,,526.0,DeMarcus Lawrence,demarcuslawrence,1749238244475.0,RDE,Lawrence,,00-0031411,,16366.0,['DL'],,1992-04-28,,,75,DE,0.0,4306CF8AB318,nfl,3e3bd10a-6462-47f8-8938-42518781d060,[],16802.0,,,1.0,1113708852156592128,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,dunbar,,,#lancedunbar-NFL-FA-25,Haltom (TX),,False,30.0,North Texas,Lance,8086.0,1284,,,26064.0,,Inactive,7798.0,,lance,187,,,9999999.0,Lance Dunbar,lancedunbar,1520632201229.0,,Dunbar,,,,14731.0,['RB'],,1990-01-25,,,"5'8""",RB,25.0,,nfl,9f0f0495-b5b8-45c2-866b-02d9f96087f7,[],15369.0,468901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,white,,,#deandrewwhite-NFL-FA-18,North Shore (TX),,True,30.0,Alabama,DeAndrew,10243.0,2801,,,28800.0,Undisclosed,Inactive,,,deandrew,195,,,9999999.0,DeAndrew White,deandrewwhite,1598920530064.0,,White,,00-0031511,,17269.0,['WR'],Questionable,1991-10-16,,,72,WR,18.0,,nfl,e0abf267-f265-4682-9bb7-72bbcefda451,[],2515962.0,557177.0,,,1116852821904326656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,lawrence,835146.0,,#devaroelawrence-NFL-FA-0,Carolina (SC),,True,29.0,Auburn,Devaroe,12173.0,4501,,,30412.0,,Active,,,devaroe,294,,,1257.0,Devaroe Lawrence,devaroelawrence,1627877117922.0,,Lawrence,,00-0033501,,19373.0,['DL'],,1992-10-13,,,74,DT,0.0,,nfl,87c4b182-e4bc-4f35-97ec-8537a2665875,[],3121581.0,,,,1116852977559142400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,baker,880521.0,,#deandrebaker-NFL-FA-30,Miami Northwestern (FL),,True,24.0,Georgia,DeAndre,13475.0,5852,,,31862.0,,Active,,,deandre,186,,,9999999.0,DeAndre Baker,deandrebaker,1660181717555.0,,Baker,, 00-0035684,,21020.0,['DB'],,1997-09-04,,,71,CB,30.0,,nfl,02d1b3c3-f292-4174-89fa-9ecc6286adb0,[],3915163.0,,,,1116853171138854912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,thompson,,,#taylorthompson-NFL-FA-84,,,False,27.0,SMU,Taylor,,1073,,,,,Inactive,,,taylor,268,,,9999999.0,Taylor Thompson,taylorthompson,,,Thompson,,,,13881.0,['TE'],,1989-10-19,,,"6'6""",TE,84.0,,nfl,c2c65162-07df-48fb-93ce-86f340afb688,[],15067.0,460898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,seymour,691066.0,,#kevonseymour-NFL-WAS-29,Muir (CA),,True,31.0,USC,Kevon,11170.0,3374,,WAS,29452.0,,Active,,,kevon,185,,,9999999.0,Kevon Seymour,kevonseymour,1741821916913.0,RCB,Seymour,,00-0032942,,18135.0,['DB'],,1993-11-30,,,72,CB,29.0,0B131E4B26AA,nfl,e431a42b-5abe-49de-9c8c-f143f393591c,[],2971603.0,691066.0,,3.0,1116852856238899200,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,straughter,1067387.0,,#coreystraughter-NFL-FA-0,Neville (LA),,True,23.0,Louisiana-Monroe,Corey,15702.0,8012,,,,,Active,,,corey,183,,,,Corey Straughter,coreystraughter,,,Straughter,,,,,['DB'],,1998-10-16,,,70,CB,0.0,,nfl,a01a9064-c0c3-4f3e-8753-89f5859879f9,[],,,,,1116853451070898176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,rose,920059.0,,#ajrose-NFL-FA-24,Garfield Heights (OH),,True,24.0,Kentucky,A.J.,15350.0,7918,,,,,Active,,,aj,212,,,311.0,A.J. Rose,ajrose,1661021115529.0,,Rose,,,,,['RB'],,1997-10-14,,,73,RB,24.0,,nfl,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,[],,,,,1116853435631665152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,pears,,,#erikpears-NFL-FA-71,John F. Kennedy (CO),,False,38.0,Colorado State,Erik,7124.0,777,,,7588.0,,Inactive,,,erik,316,,,9999999.0,Erik Pears,erikpears,,,Pears,,,,12610.0,['OL'],,1982-06-25,,,"6'8""",T,71.0,,nfl,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,[],9399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,jeune,,,#rickyjeune-NFL-FA-2,Saint Joseph Regional (NJ),,True,28.0,Georgia Tech,Ricky,13096.0,5428,,,31388.0,,Active,,,ricky,212,,,9999999.0,Ricky Jeune,rickyjeune,1535476203701.0,,Jeune,,,,20526.0,['WR'],,1993-12-03,,,75,WR,2.0,,nfl,e5395ca3-47d0-403b-84f5-41bfeba78e67,[],3055908.0,748570.0,,,1116853100703907840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,colvin,,,#aaroncolvin-NFL-FA-34,Owasso (OK),,True,30.0,Oklahoma,Aaron,9337.0,1982,,,27642.0,,Active,9348.0,,aaron,191,,,9999999.0,Aaron Colvin,aaroncolvin,1599351058114.0,,Colvin,,00-0031259,,16249.0,['DB'],,1991-10-02,,,72,CB,34.0,,nfl,76c630cf-0fd3-4210-a73d-9347da9d9d66,[],16900.0,542873.0,,,1116852771618816000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,wilson,,,#marquiswilson-NFL-FA,Avon Old Farms (CT),,True,,Purdue,Marquis,,12376,,,,,Active,,,marquis,185,,,9999999.0,Marquis Wilson,marquiswilson,,,Wilson,,,,,['DB'],,,,,71,DB,,,nfl,07923890-0e3a-11ef-9a4a-c565d3259077,[],,,,,1116852724273512448,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,uphoff,943834.0,,#christianuphoff-NFL-FA-0,Washington (IL),,True,23.0,Illinois State,Christian,15476.0,7882,,,,,Active,,,christian,195,,,,Christian Uphoff,christianuphoff,,,Uphoff,,,,,['DB'],,1998-01-22,,,75,DB,0.0,,nfl,2b02fad4-574c-4a40-ab7d-43aca2142b66,[],,,,,1116853428480376832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,hummel,1058624.0,,#jakehummel-NFL-BAL-35,Dowling Catholic (IA),,True,26.0,Iowa State,Jake,16270.0,8733,,BAL,,,Active,,,jake,235,,,9999999.0,Jake Hummel,jakehummel,1741844718889.0,RILB,Hummel,,,,,['LB'],,1999-01-04,,,73,LB,35.0,6592B272CCBB,nfl,0c7ceb00-d207-11ec-ab20-b37737d70cc4,[],,,,1.0,1113708701300060160,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,gabbert,,,#brettgabbert-NFL-MIA-16,Christian Brothers College (MO),,True,24.0,Miami (OH),Brett,19192.0,13221,,MIA,,,Active,,,brett,210,,,999.0,Brett Gabbert,brettgabbert,1747947911882.0,QB,Gabbert,,,,,['QB'],,2000-08-04,,,72,QB,16.0,0D57BED3D0B2DB99,nfl,08f0fef0-3748-11f0-9677-41d005293433,[],,,,,1231394003711180800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,kapp,1448292.0,,#jeromekapp-NFL-FA-31,Boyertown Area Senior (PA),,True,24.0,Kutztown,Jerome,17644.0,11522,,,,,Active,,,jerome,210,,,622.0,Jerome Kapp,jeromekapp,1693334405078.0,,Kapp,,,,,['WR'],,1999-04-07,,,75,WR,31.0,,nfl,64c0ef00-fa65-11ed-b161-c5ef733b4e80,[],,,,,1116852698889584640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,boyle,608753.0,,#nickboyle-NFL-FA-86,High Point Regional (NJ),,True,29.0,Delaware,Nick,10252.0,2474,,,28559.0,,Active,10547.0,,nick,261,,,9999999.0,Nick Boyle,nickboyle,1673388617497.0,,Boyle,,00-0031598,,16931.0,['TE'],,1993-02-17,,,76,TE,86.0,,nfl,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,[],2574591.0,608753.0,,,1116852808646131712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,clary,1060719.0,,#tyclary-NFL-FA-0,Fayetteville (AR),,True,25.0,Arkansas,Ty,,8852,,,,,Active,,,ty,299,,,9999999.0,Ty Clary,tyclary,,,Clary,,,,,['OL'],,1999-05-07,,,76,OL,0.0,,nfl,c22d7080-d3b2-11ec-96a0-c3471a31202c,[],,,,,1116853538769600512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,shampklin,1051044.0,,#aaronshampklin-NFL-FA-33,Long Beach Polytechnic (CA),,True,25.0,Harvard,Aaron,16367.0,8809,,,,,Active,,,aaron,195,,,9999999.0,Aaron Shampklin,aaronshampklin,1747079435227.0,,Shampklin,,,,,['RB'],,1999-10-18,,,70,RB,33.0,8C27E3A10D7A,nfl,c09be300-d30d-11ec-8b77-45b1765fd110,[],,,,,1113708820732866560,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,washington,1229074.0,,#parkerwashington-NFL-JAX-11,Travis (TX),,True,23.0,Penn State,Parker,16690.0,9487,,JAX,,,Active,,,parker,204,,,449.0,Parker Washington,parkerwashington,1736200206659.0,SWR,Washington,,,,,['WR'],,2002-03-21,,,70,WR,11.0,6C394246A6D8,nfl,c05863ec-3414-4ae6-a8d2-830aed99b6d3,[],,,,4.0,1113708892983947264,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,stone,1059222.0,,#genostone-NFL-CIN-22,New Castle (PA),,True,26.0,Iowa,Geno,14474.0,6923,,CIN,32889.0,,Active,,,geno,210,,,634.0,Geno Stone,genostone,1736448939319.0,FS,Stone,,,,21931.0,['DB'],,1999-04-19,,,71,DB,22.0,403AA74AF980,nfl,95f3b8ac-e10f-4f0d-8650-b464b37ded86,[],4240575.0,,,1.0,1113708806937800704,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,manziel,,,#johnnymanziel-NFL-FA-2,Tivy (TX),,False,27.0,Texas A&M,Johnny,9246.0,1907,,,27550.0,,Inactive,9271.0,,johnny,210,,,9999999.0,Johnny Manziel,johnnymanziel,1552834853016.0,,Manziel,,,,16135.0,['QB'],,1992-12-06,,,"6'0""",QB,2.0,,nfl,7ebbfdef-1185-4896-a323-e6d5669a8345,[],16736.0,593578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,gaziano,880210.0,,#joegaziano-NFL-FA-97,Xaverian Brothers (MA),,True,28.0,Northwestern,Joe,15065.0,7325,,,32982.0,,Active,,,joe,275,,,9999999.0,Joe Gaziano,joegaziano,1733248229358.0,,Gaziano,,,,22317.0,['DL'],,1996-09-27,,,76,DE,97.0,4F578D605AAF,nfl,bab100c6-1a6c-4411-9286-f719244f5d35,[],3915990.0,,,,1116853369403604992,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,williams,877900.0,,#jarridwilliams-NFL-FA-76,Cedar Hill (TX),,True,26.0,Miami (FL),Jarrid,16329.0,8716,,,,,Active,,,jarrid,308,,,9999999.0,Jarrid Williams,jarridwilliams,1691094646911.0,,Williams,,,,,['OL'],,1997-07-02,,,78,OL,76.0,,nfl,120caef0-ce1c-11ec-bebb-4fec1e38b0e5,[],,,,,1116853519173812224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,ruble,,,#brockruble-NFL-FA-72,DeMatha Catholic,,True,26.0,Toledo,Brock,14291.0,6648,,,32485.0,,Active,,,brock,325,,,9999999.0,Brock Ruble,brockruble,,,Ruble,, 00-0035477,,21539.0,['OL'],,1996-01-07,,,80,OT,72.0,,nfl,89fc014a-7d41-40c9-90d1-1459286813e2,[],3122934.0,,,,1116853286427688960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,grant,605325.0,,#jakeemgrant-NFL-FA-84,Horn (TX),,True,32.0,Texas Tech,Jakeem,10990.0,3342,,,29420.0,,Active,11475.0,,jakeem,172,,,662.0,Jakeem Grant,jakeemgrant,1734242151808.0,,Grant,,00-0032791,,18103.0,['WR'],,1992-10-30,,,67,WR,84.0,2CDE42756969,nfl,5de11f0b-8da9-42ba-9a93-db7f0a58543b,[],2577641.0,605325.0,,,1116852852942176256,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,brown,,,#jaronbrown-NFL-FA-18,Cheraw (SC),,True,32.0,Clemson,Jaron,9046.0,1684,,,27074.0,,Active,8869.0,,jaron,205,,,763.0,Jaron Brown,jaronbrown,1602620149319.0,,Brown,,00-0030300,,15509.0,['WR'],,1990-01-08,,,75,WR,18.0,,nfl,51952c7b-11c5-4229-baf9-08d4694cc2ad,[],16172.0,463514.0,,,1116852755042926592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,murray,651636.0,,#ericmurray-NFL-JAX-29,Riverside (WI),,True,31.0,Minnesota,Eric,11141.0,3268,,JAX,29340.0,,Active,,,eric,199,,,9999999.0,Eric Murray,ericmurray,1741674361581.0,FS,Murray,,00-0033038,,18029.0,['DB'],,1994-01-07,,,71,DB,29.0,DFF0CE83247F,nfl,16e4ffec-959d-4210-8702-36c0bf20dda5,[],2970716.0,,,1.0,1113708783088988160,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,morrow,1050219.0,,#nicholasmorrow-NFL-FA-43,Huntsville (AL),,True,29.0,Greenville,Nicholas,12428.0,4449,,,30633.0,,Active,,,nicholas,216,,,500.0,Nicholas Morrow,nicholasmorrow,1735865416050.0,,Morrow,,00-0033445,,19310.0,['LB'],,1995-07-10,,,72,LB,43.0,DB8EDD57A8EC,nfl,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,[],4232830.0,,,,1113708756631318529,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,pryor,1334826.0,,#joshuapryor-NFL-FA-47,Paul Laurence Dunbar (MD),,True,24.0,Bowie State,Joshua,17615.0,11072,,,,,Active,,,joshua,280,,,9999999.0,Joshua Pryor,joshuapryor,1700343030178.0,,Pryor,,,,,['DL'],,1999-10-25,,,76,DL,47.0,C7E7375D12FB,nfl,fa4e3720-e760-11ed-a510-95de71e69612,[],,,,,1116852648922841088,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,ahmed,1049246.0,,#salvonahmed-NFL-IND-36,Juanita (WA),,True,26.0,Washington,Salvon,14453.0,6918,,IND,33265.0,,Active,,,salvon,196,,,9999999.0,Salvon Ahmed,salvonahmed,1736268911397.0,RB,Ahmed,,,,21843.0,['RB'],,1998-12-30,,,71,RB,36.0,998715B4D91F,nfl,0dbbd211-0372-4751-9751-e4df4ab1f8eb,[],4243315.0,,,5.0,1113708735169064960,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,sweeney,836094.0,,#tommysweeney-NFL-FA-87,Don Bosco Prep (NJ),,True,29.0,Boston College,Tommy,13667.0,6137,,,32060.0,Undisclosed,Active,,,tommy,255,,,9999999.0,Tommy Sweeney,tommysweeney,1729806320462.0,,Sweeney,, 00-0035308,,20957.0,['TE'],Out,1995-07-01,,,77,TE,87.0,BAB992EBEF7A,nfl,ec63ee49-3a03-44ca-a083-3916f0bccd76,[],3122818.0,836094.0,,,1113708766848643072,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,ivey,,,#jasonivey-NFL-CLE-72,South Mecklenburg (NC),,True,,North Carolina A&T,Jason,,12784,,CLE,,,Active,,,jason,300,,,9999999.0,Jason Ivey,jasonivey,,OL,Ivey,,,,,['OL'],,,,,77,OL,72.0,DD416D5CB3BFBAA4,nfl,692c0a10-2313-11f0-8b96-b1b768d28795,[],,,,,1222062624800247808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,williams,,,#mykelwilliams-NFL-SF-98,Hardaway (GA),,True,20.0,Georgia,Mykel,18584.0,12602,,SF,,,Active,,,mykel,267,,,299.0,Mykel Williams,mykelwilliams,1747751132913.0,RDE,Williams,,,,,['DL'],,2004-06-29,,,79,DL,98.0,8E27972C8FB706B4,nfl,b53b3aa5-5ef4-4d54-a4f1-8be678e980d2,[],,,,1.0,1221352992523952128,0,,,54326870-84a6-11ec-a2e6-affc80bcd2fc,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,cecil,1124148.0,,#bradcecil-NFL-FA,Bartram Trail (FL),,True,25.0,South Florida,Brad,,11340,,,,,Active,,,brad,300,,,9999999.0,Brad Cecil,bradcecil,,,Cecil,,,,,['OL'],,1999-12-29,,,76,OL,,,nfl,c242e360-ec6c-11ed-9b1c-797c54fc9d07,[],,,,,1116852678471712768,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
