status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,drops,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7049,adds_5937,drops_6938,adds_11576,adds_7090,drops_8121,adds_6815,drops_1052,adds_7816,drops_6788,adds_5726,drops_7648,adds_6183,drops_5816,adds_4943,settings_priority,drops_8110,drops_7588,adds_4081,drops_4963,drops_10880,drops_7523,metadata,settings,adds_4449,adds_5871,adds_3303,drops_5840,adds_8392,drops_4971,adds_5894,drops_6807,adds_5001,drops_8111,adds_6901,drops_6888,adds_6938,drops_4098,adds_8142,drops_5937,adds,drops_7635,adds_8129,drops_421,adds_6783,adds_4098,drops_8329,adds_1339,drops_2374,adds_4993,drops_4381,adds_4147,drops_5001,adds_3214,drops_4082
complete,waiver,1727214675923,3,[],741144911407095808,1144424933871808512,[6],,[6],1727247865156,[],Your waiver claim was processed successfully!,2.0,10.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727203143114,3,[],862559746694205440,1144376561765003264,[3],,[3],1727247865156,[],Your waiver claim was processed successfully!,8.0,3.0,,,,,3.0,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727203089207,3,[],862559746694205440,1144376335662587904,[3],,[3],1727247865156,[],Your waiver claim was processed successfully!,7.0,3.0,,,,3.0,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727192475980,3,[],862559746694205440,1144331820562006016,[3],,[3],1727247865156,[],Your waiver claim was processed successfully!,10.0,3.0,,,,,,,,,,,,,,,,4.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727192293473,3,[],862559746694205440,1144331055072186368,[3],,[3],1727247865156,[],Your waiver claim was processed successfully!,9.0,3.0,,,,,,,3.0,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1727191620232,3,[],862559746694205440,1144328231294947328,[3],,[3],1727247865156,[],This player was claimed by another owner.,6.0,3.0,,,,,,,,,,,,,,,3.0,0.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727090222637,3,[],595464158774878208,1143902938956423168,[7],,[7],1727090222637,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727024237963,3,[],862559746694205440,1143626179174473728,[3],,[3],1727024237963,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727023721325,3,[],1130644355074629632,1143624012237643776,[5],,[5],1727023721325,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727023386376,3,[],1130644355074629632,1143622607359713280,[5],,[5],1727023386376,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727018900706,3,[],741144911407095808,1143603793096089600,[6],,[6],1727018900706,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727005369620,3,[],830975786608619520,1143547039607808000,[8],,[8],1727005369620,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727005301307,3,[],830975786608619520,1143546753082318848,[8],,[8],1727005301307,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1726766630679,3,[],578293895956312064,1142545695912599552,[2],,[2],1726766630679,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,
complete,free_agent,1726715949632,3,[],1130644355074629632,1142333124194451456,[5],,[5],1726715949632,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,
complete,free_agent,1726715662839,3,[],1130644355074629632,1142331921297424384,[5],,[5],1726715662839,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
complete,free_agent,1726669376691,3,[],578293895956312064,1142137783121723392,[2],,[2],1726669376691,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,
complete,free_agent,1726668982570,3,[],578293895956312064,1142136130058436608,[2],,[2],1726668982570,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
complete,free_agent,1726668847692,3,[],578293895956312064,1142135564339101696,[2],,[2],1726668847692,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,
complete,free_agent,1726664960390,3,[],862499213718704128,1142119259812773888,[11],,[11],1726664960390,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,
complete,free_agent,1726657889599,3,[],741144911407095808,1142089602765799424,[6],,[6],1726657889599,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,
complete,free_agent,1726657785776,3,[],594730254984077312,1142089167300575232,[4],,[4],1726657785776,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,
complete,free_agent,1726657649132,3,[],594730254984077312,1142088594174099456,[4],,[4],1726657649132,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
