status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_11651,drops_6872,adds_1339,drops_9500,adds_2350,drops_6218,metadata,settings,adds,drops_6911,drops,adds_8311,drops_10880,adds_4999,drops_4663,drops_10935,adds_10236,adds_1479,drops_9502,adds_11674,drops_8339,adds_1052,drops_2393,adds_2306,drops_3286,drops_4037,drops_4381,drops_6845,adds_5995,adds_5894,drops_6880,adds_8228,adds_6217,drops_6485,adds_6880,drops_6949,adds_5086,drops_11638,drops_1052
complete,waiver,1733228026566,13,[],1045522732957417472,1169646754527059968,[1],[1],1733299459921,[],Your waiver claim was processed successfully!,14.0,0.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
complete,waiver,1733227925654,13,[],1045522732957417472,1169646331271602176,[1],[1],1733299459921,[],Your waiver claim was processed successfully!,12.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
complete,waiver,1733227857236,13,[],1045522732957417472,1169646044305625088,[1],[1],1733299459921,[],Your waiver claim was processed successfully!,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
complete,waiver,1733227561245,13,[],741144911407095808,1169644802829336576,[6],[6],1733299459921,[],Your waiver claim was processed successfully!,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,
complete,waiver,1733209663874,13,[],861798755085692928,1169569735814647808,[9],[9],1733299459921,[],Your waiver claim was processed successfully!,5.0,10.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
complete,waiver,1733184303494,13,[],595464158774878208,1169463366671437824,[7],[7],1733299459921,[],Your waiver claim was processed successfully!,0.0,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733171951873,13,[],595464158774878208,1169411560217890816,[7],[7],1733171951873,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
complete,free_agent,1733171852603,13,[],595464158774878208,1169411143849332736,[7],[7],1733171852603,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,
complete,free_agent,1733171841371,13,[],595464158774878208,1169411096738910208,[7],[7],1733171841371,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,
complete,free_agent,1733083425336,13,[],595464158774878208,1169040253009793024,[7],[7],1733083425336,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,
complete,free_agent,1733075218725,13,[],740751073198948352,1169005831988449280,[12],[12],1733075218725,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,
complete,free_agent,1732836318098,13,[],861798755085692928,1168003810133020672,[9],[9],1732836318098,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,
complete,free_agent,1732827171745,13,[],740751073198948352,1167965447548047360,[12],[12],1732827171745,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,
complete,free_agent,1732827079224,13,[],740751073198948352,1167965059486846976,[12],[12],1732827079224,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,
complete,free_agent,1732809662887,13,[],741144911407095808,1167892010074877952,[6],[6],1732809662887,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,
complete,free_agent,1732796000153,13,[],595464158774878208,1167834704414887936,[7],[7],1732796000153,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
