status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_priority,settings_seq,settings_waiver_bid,adds_9500,drops_2028,adds_8117,adds_9225,drops_4147,adds_1166,drops_4017,drops_829,drops_6783,adds_8333,drops_7669,adds_10899,drops_10904,adds_5580,drops_11086,adds_5030,drops_10917,drops_10905,metadata,settings,adds_5840,drops_6124,drops,adds_11560,adds_2374,drops_8167,adds_7593,drops_8121,adds_5185,adds_10923,adds_7588,drops_11582,adds_8121,adds_7562,drops_2749,adds_8676,drops_1166,adds_829,drops_9229,adds,drops_8290,adds_8126,adds_3303,drops_8311,adds_11576,drops_10231,adds_10904,drops_6183,adds_10917,drops_5030,adds_96,drops_11596,adds_9484,drops_4993,drops_5912,drops_10232,adds_4017,drops_3286
complete,free_agent,1728073497364,5,[],594730254984077312,1148027092076953600,[4],[4],1728073497364,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728065112394,5,[],741144911407095808,1147991922963746816,[6],[6],1728065112394,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728065047522,5,[],741144911407095808,1147991650870857728,[6],[6],1728065047522,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728056894432,5,[],594730254984077312,1147957454332858368,[4],[4],1728056894432,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728056865127,5,[],594730254984077312,1147957331418779648,[4],[4],1728056865127,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728045432783,5,[],741144911407095808,1147909380692611072,[6],[6],1728045432783,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727998992463,5,[],1045522732957417472,1147714595873132544,[1],[1],1728021887519,[],Your waiver claim was processed successfully!,,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1727998935935,5,[],1045522732957417472,1147714358777524224,[1],[1],1728021887519,[],This player was claimed by another owner.,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727998791211,5,[],1045522732957417472,1147713751760748544,[1],[1],1727998791211,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727998395781,5,[],1045522732957417472,1147712093207117824,[1],[1],1727998395781,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
complete,free_agent,1727989925964,5,[],578293895956312064,1147676568219648000,[2],[2],1727989925964,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
complete,free_agent,1727987593408,5,[],595464158774878208,1147666784770686976,[7],[7],1727987593408,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,
complete,waiver,1727933724688,5,[],578293895956312064,1147440842983116800,[2],[2],1728021887519,[],Your waiver claim was processed successfully!,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
complete,free_agent,1727879148094,5,[],862499213718704128,1147211932156399616,[11],[11],1727879148094,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,
failed,waiver,1727877997061,5,[],830975786608619520,1147207104374214656,[8],[8],1728021887519,[],This player was claimed by another owner.,,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1727877349993,5,[],561715408029736960,1147204390374182912,[10],[10],1727877349993,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,
complete,free_agent,1727877285416,5,[],561715408029736960,1147204119518613504,[10],[10],1727877285416,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,
complete,free_agent,1727874249503,5,[],741144911407095808,1147191385976573952,[6],[6],1727874249503,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,
complete,free_agent,1727874180022,5,[],741144911407095808,1147191094552129536,[6],[6],1727874180022,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
complete,free_agent,1727874167038,5,[],741144911407095808,1147191040093286400,[6],[6],1727874167038,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
complete,free_agent,1727874116429,5,[],594730254984077312,1147190827823763456,[4],[4],1727874116429,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
