status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4981,drops_6783,drops,adds_5847,drops_4663,adds_10444,drops_8126,adds_11626,settings_priority,adds_9500,adds_4081,drops_8333,drops_8330,adds_6768,drops_8110,adds_2306,drops_8117,metadata,settings,adds_6783,adds_2036,drops_5840,adds_11618,drops_8265,adds_6949,drops_1192,adds,drops_3172,adds_3214,drops_8131,adds_5960,drops_8311,drops_9500,drops_10880,drops_6485,drops_7672,drops_5096,adds_3200,adds_1426,drops_7600,adds_11638,drops_5185
complete,waiver,1730212862356,8,[],862499213718704128,1157000239220396032,[11],[11],1730271858629,[],Your waiver claim was processed successfully!,0.0,21.0,,,,,,,,,,11.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1730046967978,8,[],740751073198948352,1156304427767304192,[12],[12],1730046967978,[],,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1730046902181,8,[],740751073198948352,1156304151794683904,[12],[12],1730046902181,[],,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1730046898189,8,[],861798755085692928,1156304135051022336,[9],[9],1730046898189,[],,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1730046821492,8,[],740751073198948352,1156303813360488448,[12],[12],1730046821492,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,
complete,free_agent,1730046631236,8,[],862559746694205440,1156303015368986624,[3],[3],1730046631236,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
complete,free_agent,1730045346394,8,[],561715408029736960,1156297626351046656,[10],[10],1730045346394,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,
complete,free_agent,1730045082210,8,[],1130644355074629632,1156296518283038720,[5],[5],1730045082210,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,
complete,free_agent,1730044834619,8,[],862499213718704128,1156295479811117056,[11],[11],1730044834619,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,
complete,free_agent,1729976938140,8,[],1045522732957417472,1156010701337513984,[1],[1],1729976938140,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
complete,free_agent,1729814545020,8,[],740751073198948352,1155329575224872960,[12],[12],1729814545020,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
complete,free_agent,1729814497583,8,[],740751073198948352,1155329376259674112,[12],[12],1729814497583,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,
complete,free_agent,1729773869453,8,[],1130644355074629632,1155158969531355136,[5],[5],1729773869453,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
complete,free_agent,1729709876360,8,[],595464158774878208,1154890563045416960,[7],[7],1729709876360,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,
complete,free_agent,1729688581473,8,[],594730254984077312,1154801245815681024,[4],[4],1729688581473,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,
complete,free_agent,1729687049544,8,[],741144911407095808,1154794820439748608,[6],[6],1729687049544,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
