status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_421,drops_7567,adds_8280,drops_5816,adds_6826,drops_7600,adds_8311,drops_3303,adds_3558,adds_5841,adds_4118,drops_6119,metadata,settings,drops,adds_4455,adds_3256,drops_3156,adds_7633,drops_3172,adds_4089,drops_4033,adds_2350,drops_5334,adds_8110,drops_6853,adds_8314,drops_4971,adds_8148,drops_2028,adds_7562,adds_7647,adds,drops_7562,drops_421,adds_4990,drops_3256,drops_4063,drops_6984,drops_6065,drops_5870,adds_2389,drops_3276,adds_3303,drops_4455,adds_7553,drops_1339,adds_9758,drops_6828
complete,free_agent,1696093275416,4,[],830975786608619520,1013892319239561216,[8],[8],1696093275416,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696045675265,4,[],862499213718704128,1013692669735821312,[11],[11],1696045675265,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1696034656810,4,[],578293895956312064,1013646454985994240,[2],[2],1696403268326,[],Your waiver claim was processed successfully!,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
complete,waiver,1696020237594,4,[],451807541647634432,1013585976410640384,[1],[1],1696114044541,[],Your waiver claim was processed successfully!,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1696020011718,4,[],451807541647634432,1013585029017980928,[1],[1],1696020011718,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
complete,free_agent,1695944281301,4,[],740751073198948352,1013267392627187712,[12],[12],1695944281301,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,
complete,free_agent,1695930045268,4,[],740751073198948352,1013207682376884224,[12],[12],1695930045268,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,
complete,free_agent,1695922605785,4,[],595464158774878208,1013176478923579392,[7],[7],1695922605785,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,
complete,free_agent,1695922564288,4,[],595464158774878208,1013176304872546304,[7],[7],1695922564288,[],,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,
complete,free_agent,1695922544023,4,[],595464158774878208,1013176219874975744,[7],[7],1695922544023,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,
complete,free_agent,1695916319804,4,[],451807541647634432,1013150113608327168,[1],[1],1695916319804,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
complete,free_agent,1695916214385,4,[],451807541647634432,1013149671448993792,[1],[1],1695916214385,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
complete,free_agent,1695914576391,4,[],578293895956312064,1013142801204207616,[2],[2],1695914576391,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,
complete,free_agent,1695912872817,4,[],741144911407095808,1013135655896965120,[6],[6],1695912872817,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,
complete,free_agent,1695911007594,4,[],862499213718704128,1013127832584675328,[11],[11],1695911007594,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,
complete,free_agent,1695910965437,4,[],862499213718704128,1013127655765401600,[11],[11],1695910965437,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0
