status,type,created,leg,draft_picks,creator,transaction_id,drops,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7594,adds_8131,drops_7002,adds_1373,drops_4171,metadata,settings,adds_6485,drops_6217,adds_7002,adds_10880,drops_7647,adds_7634,drops_7594,adds_843,adds_4381,drops_9508,adds_1234,drops_5894,adds_5580,drops_4118,adds_6811,drops_8134,adds_8406,drops_6788,adds_6120,drops_4032,adds_2350,drops_6151,adds_3369,drops_5580,adds_4223,drops_1343,adds_4892,drops_9999,adds_7117,adds,drops_6958,drops_7816,adds_4963,drops_8323,adds_8129,drops_1476,adds_6949,drops_6807,adds_6888,drops_7715,drops_8129,adds_4147,drops_4381
complete,free_agent,1701391956426,13,[],451807541647634432,1036116598190477312,,[1],[1],1701391956426,[],,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701391895906,13,[],451807541647634432,1036116344355393536,,[1],[1],1701391895906,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701390925065,13,[],862499213718704128,1036112272353103872,,[11],[11],1701390925065,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701390882439,13,[],862499213718704128,1036112093566701568,,[11],[11],1701390882439,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701390810307,13,[],862499213718704128,1036111791023165440,,[11],[11],1701390810307,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,
complete,free_agent,1701388231210,13,[],830975786608619520,1036100973506301952,,[8],[8],1701388231210,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,
complete,free_agent,1701388211489,13,[],830975786608619520,1036100890790432768,,[8],[8],1701388211489,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,
complete,free_agent,1701388197185,13,[],830975786608619520,1036100830795108352,,[8],[8],1701388197185,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
complete,free_agent,1701388154415,13,[],830975786608619520,1036100651404726272,,[8],[8],1701388154415,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,
complete,free_agent,1701373017520,13,[],862881247247052800,1036037162665328640,,[4],[4],1701373017520,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,
complete,waiver,1701372969069,13,[],862881247247052800,1036036959447142400,,[4],[4],1701437278756,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,
complete,free_agent,1701311803716,13,[],561715408029736960,1035780413362360320,,[10],[10],1701311803716,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,
complete,free_agent,1701311791804,13,[],561715408029736960,1035780363399811072,,[10],[10],1701311791804,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,
complete,free_agent,1701268061575,13,[],740751073198948352,1035596945525399552,,[12],[12],1701268061575,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,
complete,free_agent,1701267010875,13,[],861798755085692928,1035592538570186752,,[9],[9],1701267010875,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
