status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_3172,drops_3973,adds_8143,drops_6945,drops,adds_7562,adds_1339,drops_6826,adds_6804,drops_7002,adds_8135,drops_4040,adds_9502,adds_4171,adds_10222,adds_1373,drops_8142,adds_4455,drops_7551,drops_2197,drops_6809,drops_10229,drops_4988,metadata,settings,adds_5655,adds_9508,adds_6056,drops_2350,adds_7045,drops_2161,adds_5726,drops_4990,adds_10235,adds,drops_7828,adds_4454,drops_7606,drops_8135,drops_9494,adds_5995,adds_3214,drops_4089
complete,waiver,1695168929654,2,[],741144911407095808,1010015332112637952,[6],[6],1695193660999,[],Your waiver claim was processed successfully!,15.0,2.0,,,,,,,,,6.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695167027434,2,[],861798755085692928,1010007353626374144,[9],[9],1695193660999,[],This player was claimed by another owner.,6.0,10.0,,,9.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695142530063,2,[],595464158774878208,1009904604202504192,[7],[7],1695193660999,[],Your waiver claim was processed successfully!,0.0,69.0,,,7.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695135089590,2,[],578293895956312064,1009873396596928512,[2],[2],1695193660999,[],Your waiver claim was processed successfully!,4.0,16.0,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695135066665,2,[],578293895956312064,1009873300442480640,[2],[2],1695193660999,[],This player was claimed by another owner.,1.0,56.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694969092732,2,[],740751073198948352,1009177155311476736,[12],[12],1694969092732,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
complete,free_agent,1694891620930,2,[],595464158774878208,1008852215022313472,[7],[7],1694891620930,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
complete,free_agent,1694822361672,2,[],862499213718704128,1008561720639447040,[11],[11],1694822361672,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,
complete,free_agent,1694806352281,2,[],595464158774878208,1008494572386738176,[7],[7],1694806352281,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,
complete,free_agent,1694728091903,2,[],451807541647634432,1008166324570247168,[1],[1],1694728091903,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
complete,free_agent,1694638581351,2,[],740751073198948352,1007790890103955456,[12],[12],1694638581351,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,
complete,free_agent,1694633756922,2,[],862881247247052800,1007770654982103040,[4],[4],1694633756922,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
complete,free_agent,1694629432531,2,[],578293895956312064,1007752517171630080,[2],[2],1694629432531,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,
complete,free_agent,1694623198900,2,[],740751073198948352,1007726371428192256,[12],[12],1694623198900,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
complete,free_agent,1694623191441,2,[],740751073198948352,1007726340142878720,[12],[12],1694623191441,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,
complete,free_agent,1694619274571,2,[],578293895956312064,1007709911599370240,[2],[2],1694619274571,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
complete,free_agent,1694604921720,2,[],741144911407095808,1007649711379009536,[6],[6],1694604921720,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
