status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7044,drops_6799,adds_2251,drops_4080,adds_9500,drops_10222,drops_9758,adds_1233,drops_5318,metadata,settings,drops,adds_6214,adds_10229,adds,drops_4147,adds_5318,drops_1233,adds_8339,drops_5655,adds_5348,drops_3973,adds_957,drops_5726,adds_7672,drops_5840,adds_4971,drops_4454,adds_8314,drops_4180,adds_5334,adds_7715,adds_5816,drops_3225,adds_1339,drops_4089,adds_5840,drops_7562,adds_8311,drops_5334,drops_2350,adds_10232,drops_9757,drops_7647,drops_7633,adds_7889,drops_8314,adds_7136,drops_6888,adds_11439,drops_10235
complete,free_agent,1696606060449,5,[],451807541647634432,1016043095554605056,[1],[1],1696606060449,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
complete,waiver,1696563778010,5,[],578293895956312064,1015865750152183808,[2],[2],1696572482325,[],Your waiver claim was processed successfully!,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,
complete,free_agent,1696552102878,5,[],861798755085692928,1015816781098876928,[9],[9],1696552102878,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,
complete,free_agent,1696541876365,5,[],451807541647634432,1015773887994347520,[1],[1],1696541876365,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
complete,free_agent,1696539707184,5,[],862881247247052800,1015764789789802496,[4],[4],1696539707184,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,
complete,free_agent,1696539620795,5,[],862881247247052800,1015764427448074240,[4],[4],1696539620795,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,
complete,free_agent,1696528486988,5,[],578293895956312064,1015717728876838912,[2],[2],1696528486988,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,
complete,free_agent,1696444697918,5,[],451807541647634432,1015366292041191424,[1],[1],1696444697918,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
complete,free_agent,1696444658075,5,[],451807541647634432,1015366124931731456,[1],[1],1696444658075,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
complete,free_agent,1696433446418,5,[],862499213718704128,1015319099833929728,[11],[11],1696433446418,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,
complete,free_agent,1696403838643,5,[],561747196680642560,1015194915824816128,[5],[5],1696403838643,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,
complete,free_agent,1696403799840,5,[],561747196680642560,1015194753073238016,[5],[5],1696403799840,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
