status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4978,drops_7651,adds_5056,adds_7113,adds_6141,adds_7066,drops_3200,adds_4080,adds_1352,drops,adds_4962,adds_1387,adds_7677,adds_4033,drops_4066,drops_6826,drops_6951,adds_4602,drops_6843,adds_4574,drops_1837,metadata,settings,adds,drops_8110,settings_priority,adds_8314,drops_4135,drops_5041,drops_2227,drops_3202,adds_6847,drops_5917,drops_956,drops_3214,adds_8110,adds_7823,drops_7666,adds_3200,drops_8228,adds_6788,drops_3242,adds_5133,drops_4381,adds_8408,adds_8139,drops_1387,adds_7012,drops_1213,adds_7647,drops_4967,adds_7523,drops_4892,adds_4066,drops_7569,adds_3233,drops_6872,adds_4063,drops_2311,adds_2036,drops_3172,adds_3303,drops_2410,adds_6711,drops_6911,drops_7601
failed,waiver,1664297286455,3,[],862559746694205440,880530275556470784,[13],[13],1664348823348,[],This player was claimed by another owner.,13.0,1.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,2.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664292288093,3,[],578293895956312064,880509310906822656,[14],[14],1664348823348,[],This player was claimed by another owner.,1.0,12.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664233324886,3,[],453691856656527360,880262001291718656,[15],[15],1664233324886,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664122273396,3,[],561715408029736960,879796217583230976,[10],[10],1664122273396,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664120896850,3,[],548317142968336384,879790443930939392,[8],[8],1664120896850,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664120634266,3,[],594730254984077312,879789342573768704,[4],[4],1664120634266,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664120570361,3,[],741144911407095808,879789074536505344,[6],[6],1664120570361,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664040166519,3,[],548317142968336384,879451836380319744,[8],[8],1664040166519,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1663979588412,3,[],451807541647634432,879197753383944192,[1],[1],1663979588412,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1663796526215,3,[],741144911407095808,878429934878707712,[6],[6],1663796526215,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
complete,free_agent,1663796146430,3,[],578293895956312064,878428341945069568,[14],[14],1663796146430,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,
complete,waiver,1663795814023,3,[],578293895956312064,878426947728932864,[14],[14],1663913209938,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,
complete,free_agent,1663783160843,3,[],453691856656527360,878373876445528064,[15],[15],1663783160843,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,
complete,waiver,1663781049353,3,[],595464158774878208,878365020214562816,[7],[7],1663913209938,[],Your waiver claim was processed successfully!,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,
complete,free_agent,1663776448052,3,[],594730254984077312,878345720959459328,[4],[4],1663776448052,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,
complete,free_agent,1663776256822,3,[],453691856656527360,878344918882668544,[15],[15],1663776256822,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,
complete,free_agent,1663775754450,3,[],451807541647634432,878342811781730304,[1],[1],1663775754450,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
complete,free_agent,1663775685547,3,[],451807541647634432,878342522781470720,[1],[1],1663775685547,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
complete,free_agent,1663746347410,3,[],453691856656527360,878219469716193280,[15],[15],1663746347410,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
