status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_1213,drops_4081,drops,adds_6850,adds_6126,adds_6149,adds_8314,drops_5010,adds_5347,drops_956,adds_4335,drops_5071,adds_7583,adds_5880,drops_8121,adds_5955,drops_6989,adds_6118,drops_5840,settings_priority,drops_7637,adds_7585,drops_7527,metadata,settings,adds,drops_6938,drops_8111,adds_7591,drops_4017,adds_8225,drops_7551,adds_2617,adds_8205,drops_2389,adds_6125,adds_8132,adds_5248,adds_5985,drops_2378,adds_3257,drops_3161,adds_7594,drops_7741,adds_1837,drops_5170,adds_4111,drops_8132,drops_5955,adds_8111,drops_5133,adds_5876,drops_6911,adds_7637,drops_4197,drops_1233,drops_5137,adds_8160,drops_2078,adds_3303,drops_4063,adds_5894,adds_6989,drops_4951,drops_5347,adds_8188,drops_1837,drops_3303,drops_3257,adds_7527,drops_1213
complete,free_agent,1666539880733,7,[],862881247247052800,889936397707411456,[16],[16],1666539880733,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666526703440,7,[],594730254984077312,889881128134303744,[4],[4],1666526703440,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666500821439,7,[],558483388996636672,889772571153956864,[3],[3],1666500821439,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666496362847,7,[],595464158774878208,889753870463668224,[7],[7],1666496362847,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666472748933,7,[],451807541647634432,889654826529873920,[1],[1],1666472748933,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666386788881,7,[],558483388996636672,889294283939676160,[3],[3],1666386788881,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666384812462,7,[],594730254984077312,889285994237734912,[4],[4],1666384812462,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666325882444,7,[],862499213718704128,889038823827677184,[11],[11],1666325882444,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666324800619,7,[],558483388996636672,889034286324867072,[3],[3],1666355185318,[],Your waiver claim was processed successfully!,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666322881918,7,[],548317142968336384,889026238709567488,[8],[8],1666322881918,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666322862527,7,[],548317142968336384,889026157377769472,[8],[8],1666322862527,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666308238794,7,[],578293895956312064,888964820995981312,[14],[14],1666394819655,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666303880274,7,[],451807541647634432,888946540037701632,[1],[1],1666303880274,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1666270817137,7,[],595464158774878208,888807863190175744,[7],[7],1666270817137,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,
complete,free_agent,1666250770403,7,[],862881247247052800,888723781093425152,[16],[16],1666250770403,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,
complete,free_agent,1666250716618,7,[],862881247247052800,888723555502751744,[16],[16],1666250716618,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
complete,free_agent,1666231050041,7,[],558483388996636672,888641067900350464,[3],[3],1666231050041,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,
complete,waiver,1666225269359,7,[],594730254984077312,888616821962592256,[4],[4],1666354586538,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,
complete,free_agent,1666225133468,7,[],594730254984077312,888616251994312704,[4],[4],1666225133468,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
failed,waiver,1666225074890,7,[],594730254984077312,888616006300499968,[4],[4],1666355185318,[],This player was claimed by another owner.,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666222829025,7,[],861798755085692928,888606586459897856,[9],[9],1666222829025,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,
complete,free_agent,1666218227639,7,[],561747196680642560,888587286848327680,[5],[5],1666218227639,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
complete,free_agent,1666213009122,7,[],741144911407095808,888565398801625088,[6],[6],1666213009122,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
complete,free_agent,1666185409864,7,[],453691856656527360,888449639123247104,[15],[15],1666185409864,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
complete,free_agent,1666185255387,7,[],741144911407095808,888448991199862784,[6],[6],1666185255387,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
complete,free_agent,1666185194725,7,[],741144911407095808,888448736765030400,[6],[6],1666185194725,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
complete,free_agent,1666183754593,7,[],595464158774878208,888442696413585408,[7],[7],1666183754593,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0
