status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_3242,drops_5880,adds_2711,drops_1233,drops,adds_1992,adds_2036,drops_7113,adds_7002,drops_8314,drops_956,drops_3257,drops_8205,adds_6853,drops_1817,drops_6880,adds_4081,drops_6291,adds_7666,drops_5017,adds_4032,adds_7527,drops_5010,adds_2330,drops_6850,drops_6996,metadata,settings,adds,drops_6126,drops_3202,adds_1817,drops_7596,adds_3202,adds_4197,drops_4234,adds_7637,drops_8211,adds_4234,adds_1233,drops_1992,adds_8121,drops_5985,adds_4335,adds_8138,adds_3214,drops_7002,adds_6996,drops_6149,adds_4118,adds_6938,drops_8160,adds_4168,drops_4174,adds_7677,drops_6065,adds_1346,drops_8228,adds_8111,drops_829,adds_829,drops_24,drops_8111,drops_8188,adds_5520,adds_7606,drops_7538,adds_7601,drops_3242,drops_7601,drops_2711,adds_6871,drops_5876,drops_2036,drops_8155,adds_2389,drops_4449,adds_5917,drops_3214,adds_5010,drops_7585,drops_7637,drops_8225
complete,free_agent,1667145186117,8,[],861702367484178432,892475232500699136,[2],[2],1667145186117,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667142086647,8,[],594730254984077312,892462232380956672,[4],[4],1667142086647,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667141790340,8,[],451807541647634432,892460989579337728,[1],[1],1667141790340,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667133752119,8,[],558483388996636672,892427274836828160,[3],[3],1667133752119,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667069600800,8,[],741144911407095808,892158204702982144,[6],[6],1667069600800,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667058413229,8,[],453691856656527360,892111280629112832,[15],[15],1667058413229,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666994137000,8,[],578293895956312064,891841686584745984,[14],[14],1666994137000,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666979065699,8,[],548317142968336384,891778472966770688,[8],[8],1666979065699,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666979009266,8,[],548317142968336384,891778236269420544,[8],[8],1666979009266,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666977822971,8,[],453691856656527360,891773260587610112,[15],[15],1666977822971,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666925023287,8,[],558483388996636672,891551802661867520,[3],[3],1666925023287,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666913944801,8,[],561715408029736960,891505336119865344,[10],[10],1666913944801,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666913806707,8,[],561715408029736960,891504756915621888,[10],[10],1666913806707,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666913092152,8,[],561747196680642560,891501759854755840,[5],[5],1666913092152,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666912911536,8,[],561715408029736960,891501002296250368,[10],[10],1667372829323,[],Your waiver claim was processed successfully!,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666912863279,8,[],561715408029736960,891500799891771392,[10],[10],1666912863279,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666902426833,8,[],578293895956312064,891457026264342528,[14],[14],1666902426833,[],,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666900208817,8,[],741144911407095808,891447723231027200,[6],[6],1666900208817,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666893574253,8,[],862881247247052800,891419895852658688,[16],[16],1666893574253,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1666888136476,8,[],451807541647634432,891397088163020800,[1],[1],1666888136476,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
complete,waiver,1666812386850,8,[],561747196680642560,891079371203633152,[5],[5],1666967795073,[],Your waiver claim was processed successfully!,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,
complete,free_agent,1666798489828,8,[],548317142968336384,891021082868625408,[8],[8],1666798489828,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,
complete,free_agent,1666798465832,8,[],548317142968336384,891020982222159872,[8],[8],1666798465832,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
complete,free_agent,1666798064431,8,[],451807541647634432,891019298624344064,[1],[1],1666798064431,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
complete,free_agent,1666795776955,8,[],453691856656527360,891009704254623744,[15],[15],1666795776955,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,
complete,free_agent,1666795676845,8,[],453691856656527360,891009284362719232,[15],[15],1666795676845,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,
complete,free_agent,1666795599546,8,[],862499213718704128,891008960147230720,[11],[11],1666795599546,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,
complete,free_agent,1666793000112,8,[],862499213718704128,890998057330720768,[11],[11],1666793000112,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,
complete,waiver,1666779917020,8,[],595464158774878208,890943182865674240,[7],[7],1666937793807,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,
complete,free_agent,1666779809084,8,[],595464158774878208,890942730149310464,[7],[7],1666779809084,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
complete,free_agent,1666768307620,8,[],862881247247052800,890894489513095168,[16],[16],1666768307620,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
