status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_3214,drops_4180,drops,adds_4976,adds_8167,drops_8150,adds_7113,drops_2036,adds_5248,drops_2161,adds_4017,drops_4177,settings_priority,adds_7757,metadata,settings,adds,drops_1192,drops_8112,adds_4081,drops_6291,adds_6807,drops_5334,adds_5880,adds_6149,adds_6880,drops_4033,drops_7666,adds_1837,drops_96,drops_4381,drops_4066,adds_5348,drops_2353,drops_2711,adds_5847,drops_4036,adds_6996,adds_7569,drops_5880,adds_3163,adds_7672,drops_4335,drops_2505,drops_8121,drops_1837,adds_5985,drops_7002,adds_4191,adds_4118,drops_5348,adds_5876,adds_2353,drops_5248,adds_843,drops_2319,adds_5893,drops_4427,adds_4980,drops_5894,adds_2311,drops_7627,adds_3256,drops_7527,adds_1233,drops_3423,adds_8228,drops_6220,adds_1737,drops_5959,drops_8131,adds_7002,drops_3214,drops_6880,adds_5334,drops_6807
failed,waiver,1668559543093,10,[],578293895956312064,898407475622088704,[14],[14],1668586017369,[],This player was claimed by another owner.,1.0,39.0,,,,,14.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1668559063774,10,[],578293895956312064,898405465212600320,[14],[14],1668586017369,[],This player was claimed by another owner.,13.0,1.0,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668558996441,10,[],578293895956312064,898405182797422592,[14],[14],1668586017369,[],Your waiver claim was processed successfully!,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1668537134276,10,[],561747196680642560,898313486231379968,[5],[5],1668586017369,[],"Unfortunately, your roster will have too many players after this transaction.",11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668537122552,10,[],561747196680642560,898313437057449984,[5],[5],1668586017369,[],Your waiver claim was processed successfully!,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1668537111806,10,[],561747196680642560,898313391985422336,[5],[5],1668586017369,[],This player was claimed by another owner.,5.0,13.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668537079503,10,[],561747196680642560,898313256492568576,[5],[5],1668586017369,[],Your waiver claim was processed successfully!,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668537035664,10,[],561747196680642560,898313072622739456,[5],[5],1668586017369,[],Your waiver claim was processed successfully!,10.0,2.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668536575363,10,[],578293895956312064,898311141980274688,[14],[14],1668586017369,[],Your waiver claim was processed successfully!,2.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1668536484903,10,[],561747196680642560,898310762563735552,[5],[5],1668586017369,[],This player was claimed by another owner.,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668536429593,10,[],561747196680642560,898310530576556032,[5],[5],1668536429593,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668535183284,10,[],453691856656527360,898305303177859072,[15],[15],1668586017369,[],Your waiver claim was processed successfully!,4.0,14.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1668535168372,10,[],453691856656527360,898305240632422400,[15],[15],1668586017369,[],This player was claimed by another owner.,3.0,14.0,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668477433805,10,[],453691856656527360,898063084307062784,[15],[15],1668477433805,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668368594934,10,[],451807541647634432,897606580995080192,[1],[1],1668368594934,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668368582698,10,[],451807541647634432,897606529673576448,[1],[1],1668368582698,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668361064129,10,[],861798755085692928,897574994509545472,[9],[9],1668361064129,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668360936603,10,[],861798755085692928,897574459626733568,[9],[9],1668360936603,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668360863417,10,[],862499213718704128,897574152662401024,[11],[11],1668360863417,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668354977466,10,[],561715408029736960,897549465194577920,[10],[10],1668354977466,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668342023220,10,[],741144911407095808,897495131148763136,[6],[6],1668342023220,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668290031574,10,[],558483388996636672,897277062379880448,[3],[3],1668290031574,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668290016755,10,[],558483388996636672,897277000224489472,[3],[3],1668290016755,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668289925657,10,[],558483388996636672,897276618131783680,[3],[3],1668289925657,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668202644031,10,[],578293895956312064,896910532458725376,[14],[14],1668202644031,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668200412595,10,[],862881247247052800,896901173137784832,[16],[16],1668200412595,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668175004736,10,[],862499213718704128,896794604853149696,[11],[11],1668175004736,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668127215584,10,[],594730254984077312,896594162621865984,[4],[4],1668127215584,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668127191760,10,[],451807541647634432,896594062696767488,[1],[1],1668127191760,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668127146117,10,[],594730254984077312,896593871256150016,[4],[4],1668127146117,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668127115868,10,[],451807541647634432,896593744382648320,[1],[1],1668127115868,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1668127109596,10,[],594730254984077312,896593718075973632,[4],[4],1668127109596,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,
complete,free_agent,1668127023738,10,[],451807541647634432,896593357961420800,[1],[1],1668127023738,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
complete,free_agent,1668089688919,10,[],595464158774878208,896436764380651520,[7],[7],1668089688919,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,
complete,free_agent,1668025814666,10,[],561715408029736960,896168856345796608,[10],[10],1668025814666,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,
complete,free_agent,1668025271175,10,[],548317142968336384,896166576779321344,[8],[8],1668025271175,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,
complete,free_agent,1668001119701,10,[],741144911407095808,896065278155317248,[6],[6],1668001119701,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,
complete,free_agent,1668001069625,10,[],741144911407095808,896065068121350144,[6],[6],1668001069625,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
complete,waiver,1668001038993,10,[],578293895956312064,896064939641524224,[14],[14],1668150435174,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,
complete,free_agent,1668000972028,10,[],741144911407095808,896064658769862656,[6],[6],1668000972028,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
complete,free_agent,1668000795164,10,[],578293895956312064,896063916948480000,[14],[14],1668000795164,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0
