status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7594,drops_5872,adds_6920,drops_8341,drops_6996,drops_6927,adds_4032,drops_7113,adds_5947,drops_8112,adds_8135,drops_7083,drops,adds_4892,metadata,settings,adds,drops_6984,adds_533,settings_priority,drops_3256,adds_4976,adds_2064,adds_3156,adds_2036,drops_957,adds_7045,drops_2036,adds_5318,drops_7012,drops_8219,adds_8341,drops_6931,adds_3558,drops_5871,adds_8225,drops_6850,adds_6125,drops_2197,drops_7606,adds_1343,drops_1213,adds_3202,drops_7601,adds_6927,drops_5947,adds_5154,drops_2307,adds_7601,drops_2064,drops_4976,adds_5297,drops_8135,drops_5928,adds_3256,drops_6125,adds_4081,drops_3399,adds_6012,drops_8150,adds_8210,drops_5248,adds_7757,drops_7049,adds_6291,drops_2445,adds_5061,drops_4168,adds_6984,adds_7083,drops_6886,adds_4136,drops_8323,adds_5871,drops_2427,adds_5056,drops_3174,adds_5655,drops_4136,adds_3271,drops_1343,drops_5209
failed,waiver,1670956154053,14,[],578293895956312064,908459590558056448,[14],[14],1671005244453,[],"Unfortunately, your roster will have too many players after this transaction.",5.0,3.0,,,,,,,14.0,,,,,,,,,,,,,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670951291918,14,[],578293895956312064,908439197286006784,[14],[14],1671005244453,[],Your waiver claim was processed successfully!,4.0,3.0,,,,,,,,,,,,,,,,,,,,0.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1670912444124,14,[],578293895956312064,908276257828102144,[14],[14],1671005244453,[],"Unfortunately, your roster will have too many players after this transaction.",6.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1670911252305,14,[],578293895956312064,908271258976931840,[14],[14],1671005244453,[],"Unfortunately, your roster will have too many players after this transaction.",11.0,0.0,,,,,,,,,,,,,,,,,,,,4.0,14.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670797351353,14,[],741144911407095808,907793523758317568,[6],[6],1670797351353,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670797311376,14,[],741144911407095808,907793356082626560,[6],[6],1670797311376,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670797277807,14,[],741144911407095808,907793215284035584,[6],[6],1670797277807,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670797243642,14,[],741144911407095808,907793071985639424,[6],[6],1670797243642,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670780227658,14,[],861798755085692928,907721701775884288,[9],[9],1670780227658,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670778663167,14,[],862499213718704128,907715139825025024,[11],[11],1670778663167,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670777685407,14,[],451807541647634432,907711038802345984,[1],[1],1670777685407,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670777653065,14,[],451807541647634432,907710903150166016,[1],[1],1670777653065,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670777646462,14,[],451807541647634432,907710875455176704,[1],[1],1670777646462,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670777609926,14,[],451807541647634432,907710722212085760,[1],[1],1670777609926,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670777043476,14,[],548317142968336384,907708346348584960,[8],[8],1670777043476,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670773396376,14,[],830975786608619520,907693049302466560,[12],[12],1670773396376,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670728345410,14,[],862499213718704128,907504091855470592,[11],[11],1670728345410,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670637246390,14,[],862499213718704128,907121994871488512,[11],[11],1670637246390,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670621624755,14,[],830975786608619520,907056472985321472,[12],[12],1670621624755,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670614128996,14,[],558483388996636672,907025033493364736,[3],[3],1670614128996,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670614091741,14,[],558483388996636672,907024877234569216,[3],[3],1670614091741,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670614066999,14,[],558483388996636672,907024773459099648,[3],[3],1670614066999,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670614036656,14,[],558483388996636672,907024646191333376,[3],[3],1670614036656,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670602789079,14,[],578293895956312064,906977470434287616,[14],[14],1670606202351,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670602106342,14,[],578293895956312064,906974606827601920,[14],[14],1670602106342,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670556640465,14,[],595464158774878208,906783909117935616,[7],[7],1670556640465,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670545346707,14,[],862881247247052800,906736539646803969,[16],[16],1670545346707,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670540773007,14,[],453691856656527360,906717356175376384,[15],[15],1670540773007,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670540675751,14,[],451807541647634432,906716948254146560,[1],[1],1670540675751,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
complete,waiver,1670444692665,14,[],561715408029736960,906314366012669952,[10],[10],1670570199222,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,
complete,free_agent,1670444605096,14,[],561715408029736960,906313998721499136,[10],[10],1670444605096,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,
complete,free_agent,1670436547959,14,[],595464158774878208,906280204639551488,[7],[7],1670436547959,[],,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
complete,free_agent,1670433694310,14,[],548317142968336384,906268235568136192,[8],[8],1670433694310,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,
complete,waiver,1670419811451,14,[],862499213718704128,906210006637252608,[11],[11],1670588800350,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,
complete,free_agent,1670419715796,14,[],862499213718704128,906209605430951936,[11],[11],1670419715796,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,
complete,free_agent,1670419612530,14,[],862499213718704128,906209172301955072,[11],[11],1670419612530,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,
complete,free_agent,1670419546116,14,[],862499213718704128,906208893741449216,[11],[11],1670419546116,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,
complete,free_agent,1670413752067,14,[],594730254984077312,906184591738552320,[4],[4],1670413752067,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
complete,free_agent,1670413735871,14,[],594730254984077312,906184523807608832,[4],[4],1670413735871,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
