status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4381,drops_3214,adds_6065,drops_5928,adds_8314,drops_7823,adds_4174,drops_6125,adds_5041,drops_6141,adds_6826,drops_4171,drops,adds_7601,adds_5017,drops_7136,adds_8228,metadata,settings,adds,drops_8289,drops_4985,drops_7536,adds_2378,drops_6845,adds_4224,drops_4091,adds_6291,settings_expires_at,adds_5927,adds_5967,drops_5927,drops_5967,adds_2078,drops_8138,adds_2161,drops_2078,adds_1837,drops_6711,adds_7536,drops_2251,adds_4080,adds_7637,adds_8111,drops_4234,adds_5857,drops_4177,adds_4191,adds_3214,drops_4381,adds_7136,drops_4427,adds_8289,drops_7601,drops_2750,adds_6711,adds_8205,adds_5959,drops_5520,adds_5839,drops_7627,adds_7741,drops_5970
complete,free_agent,1665243795429,5,[],594730254984077312,884500221932208128,[4],[4],1665243795429,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1665171365162,5,[],741144911407095808,884196427373617152,[6],[6],1665171365162,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,
complete,free_agent,1665170508657,5,[],862881247247052800,884192834931122176,[16],[16],1665170508657,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,
complete,free_agent,1665166861122,5,[],862499213718704128,884177536060608512,[11],[11],1665166861122,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,
complete,free_agent,1665101258037,5,[],561747196680642560,883902376778964992,[5],[5],1665101258037,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,
complete,free_agent,1665101209653,5,[],561747196680642560,883902173841641472,[5],[5],1665101209653,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
complete,free_agent,1665076791492,5,[],548317142968336384,883799756651020288,[8],[8],1665076791492,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,
complete,free_agent,1665076770053,5,[],548317142968336384,883799666729545728,[8],[8],1665076770053,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
complete,free_agent,1665013247795,5,[],453691856656527360,883533235068538880,[15],[15],1665013247795,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,
complete,free_agent,1665002483066,5,[],741144911407095808,883488084522721280,[6],[6],1665002483066,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
complete,free_agent,1664965051032,5,[],862499213718704128,883331083192782848,[11],[11],1664965051032,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,
complete,free_agent,1664964774474,5,[],862499213718704128,883329923224473600,[11],[11],1664964774474,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,
complete,free_agent,1664964391153,5,[],862499213718704128,883328315459743744,[11],[11],1664964391153,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0
