status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4082,drops_5947,adds_4224,drops_6788,adds_3363,drops_2330,adds_3166,drops_5348,adds_7627,drops_6124,adds_2307,drops_4033,drops_3172,adds_6911,drops_6711,drops,adds_8228,drops_8339,drops_5038,drops_8168,adds_7670,drops_8153,drops_2431,adds_3423,drops_4017,adds_4427,drops_4077,adds_2251,drops_5056,drops_8118,adds_4055,drops_8130,drops_8167,adds_6845,metadata,settings,adds_1825,adds_1905,adds_2064,drops_3222,adds_6711,drops_4427,adds_1387,adds_5284,drops_4454,adds_6951,drops_6847,adds_4973,drops_2078,adds_2078,drops_5857,adds_2330,drops_8290,adds_6124,drops_7627,adds_5928,drops_7585,adds_7666,drops_8160,adds_6125,drops_4152,adds_6847,drops_1825,adds_4197,drops_8205,adds_5944,drops_3291,adds_3291,adds,drops_5030,adds_830,adds_4032,drops_8289,adds_2749,drops_8230,adds_2431,adds_3242,drops_1067,adds_8230,drops_4602,adds_8121,drops_2307,adds_3222,drops_4981,adds_7066,drops_3303,adds_3233,drops_6128,adds_8205,drops_5944,adds_3230,drops_2036,adds_2389,drops_8355,adds_947,adds_2353,drops_8121,adds_4110,drops_4063,adds_367,drops_7594,adds_5056,drops_6809,adds_3202,drops_3233,adds_956,drops_5052,adds_3163,drops_4965
failed,waiver,1663126482216,1,[],861798755085692928,875619566653423616,[9],[9],1663139185849,[],This player was claimed by another owner.,14.0,0.0,9.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663122414895,1,[],594730254984077312,875602507072761856,[4],[4],1663139185849,[],This player was claimed by another owner.,4.0,6.0,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663121984098,1,[],594730254984077312,875600700179218432,[4],[4],1663139185849,[],Your waiver claim was processed successfully!,2.0,8.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663118759528,1,[],595464158774878208,875587175352315904,[7],[7],1663139185849,[],Your waiver claim was processed successfully!,0.0,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663104302886,1,[],741144911407095808,875526539800977408,[6],[6],1663139185849,[],Your waiver claim was processed successfully!,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663097960519,1,[],561747196680642560,875499937985597440,[5],[5],1663139185849,[],Your waiver claim was processed successfully!,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663082443613,1,[],548317142968336384,875434855364947968,[8],[8],1663139185849,[],"Unfortunately, your roster will have too many players after this transaction.",16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663082405592,1,[],548317142968336384,875434695893221376,[8],[8],1663139185849,[],Your waiver claim was processed successfully!,9.0,3.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663082367933,1,[],548317142968336384,875434537939963904,[8],[8],1663139185849,[],This player was claimed by another owner.,8.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663077385801,1,[],561715408029736960,875413641363582976,[10],[10],1663139185849,[],This player was claimed by another owner.,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663077290011,1,[],561715408029736960,875413239591243776,[10],[10],1663139185849,[],Your waiver claim was processed successfully!,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663045672401,1,[],558483388996636672,875280625723195392,[3],[3],1663139185849,[],This player was claimed by another owner.,3.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663045493444,1,[],558483388996636672,875279875123068928,[3],[3],1663139185849,[],Your waiver claim was processed successfully!,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662914755186,1,[],453691856656527360,874731519125065728,[15],[15],1662914755186,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662791798533,1,[],862881247247052800,874215801543131136,[16],[16],1662791798533,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662677351714,1,[],830975786608619520,873735776792596480,[12],[12],1662677351714,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662675735375,1,[],451807541647634432,873728997375442944,[1],[1],1662675735375,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662655221776,1,[],451807541647634432,873642957104947200,[1],[1],1662655221776,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662650776238,1,[],578293895956312064,873624311167143936,[14],[14],1662650776238,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662572295606,1,[],595464158774878208,873295139538432000,[7],[7],1662572295606,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662510665973,1,[],741144911407095808,873036646122188800,[6],[6],1662510665973,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662510482890,1,[],741144911407095808,873035878216450048,[6],[6],1662510482890,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662501018369,1,[],862499213718704128,872996181138145280,[11],[11],1662501018369,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662500849854,1,[],862499213718704128,872995474335027200,[11],[11],1662500849854,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662474006241,1,[],561715408029736960,872882884061683712,[10],[10],1662474006241,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662473989921,1,[],561715408029736960,872882815610621952,[10],[10],1662473989921,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662473785582,1,[],561715408029736960,872881958550745088,[10],[10],1662473785582,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662340509619,1,[],595464158774878208,872322958646038528,[7],[7],1662340509619,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662340467332,1,[],595464158774878208,872322781281505280,[7],[7],1662340467332,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662125568168,1,[],453691856656527360,871421428858310656,[15],[15],1662125568168,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662071120677,1,[],453691856656527360,871193059529039872,[15],[15],1662071120677,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662060374977,1,[],453691856656527360,871147988796522496,[15],[15],1662060374977,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661956208390,1,[],548317142968336384,870711082463965184,[8],[8],1661956208390,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661899029600,1,[],558483388996636672,870471257236340736,[3],[3],1661899029600,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661891078943,1,[],595464158774878208,870437909763915776,[7],[7],1661891078943,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661891005137,1,[],595464158774878208,870437600199180288,[7],[7],1661891005137,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661871902176,1,[],594730254984077312,870357476573360128,[4],[4],1661871902176,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661821122829,1,[],595464158774878208,870144492555116544,[7],[7],1661821122829,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661816108198,1,[],862499213718704128,870123459668299776,[11],[11],1661816108198,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661457765784,1,[],830975786608619520,868620462647869440,[12],[12],1661457765784,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661447116712,1,[],862499213718704128,868575797202567168,[11],[11],1661447116712,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1661431023240,1,[],741144911407095808,868508296288591872,[6],[6],1661570121731,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661430109042,1,[],595464158774878208,868504461864235008,[7],[7],1661430109042,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1661402196375,1,[],594730254984077312,868387387653414912,[4],[4],1661402196375,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,
complete,free_agent,1661401911529,1,[],594730254984077312,868386192922677248,[4],[4],1661401911529,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,
complete,free_agent,1661401672537,1,[],594730254984077312,868385190517563392,[4],[4],1661401672537,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
complete,free_agent,1661401322356,1,[],861702367484178432,868383721752023040,[2],[2],1661401322356,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
complete,free_agent,1661401232397,1,[],561747196680642560,868383344436629504,[5],[5],1661401232397,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,
complete,free_agent,1661401200866,1,[],861702367484178432,868383212186013696,[2],[2],1661401200866,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,
complete,free_agent,1661401116058,1,[],548317142968336384,868382856475471872,[8],[8],1661401116058,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,
complete,free_agent,1661400859666,1,[],862559746694205440,868381781089476608,[13],[13],1661400859666,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,
complete,free_agent,1661400521960,1,[],862559746694205440,868380364647907328,[13],[13],1661400521960,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,
complete,free_agent,1661400343547,1,[],862559746694205440,868379616329523200,[13],[13],1661400343547,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0
