status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_3242,drops_4036,adds_24,drops_1213,drops,adds_8188,adds_6886,adds_8172,drops_6126,drops_2078,adds_5928,drops_2161,adds_2711,drops_7591,drops_6826,adds_5133,drops_8118,metadata,settings,adds,drops_2214,drops_5137,adds_4224,drops_5959,adds_6824,drops_2353,adds_3303,drops_5133,adds_2214,drops_4054,adds_5170,drops_3262,adds_7551,adds_6141,adds_2588,adds_5816,drops_8205,adds_1213,drops_3664,drops_7637,adds_5071,adds_8150,drops_5816,adds_6711,adds_6124,drops_7006,adds_7006,drops_3303,adds_6911,adds_544,drops_5882,adds_4054,drops_1387,adds_3172,drops_1999,adds_4017,drops_6886,adds_5536,drops_8117,adds_4171,drops_4055,drops_4191,drops_2592,adds_4449,drops_4118,adds_8266,drops_5334,adds_4158,drops_8314,adds_3257,drops_8160
failed,waiver,1666109347875,6,[],548317142968336384,888130612018487296,[8],[8],1666163214806,[],This player was claimed by another owner.,9.0,2.0,,,8.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666107220990,6,[],578293895956312064,888121691216257024,[14],[14],1666163214806,[],This player was claimed by another owner.,15.0,0.0,,,,,,,,14.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666106496371,6,[],578293895956312064,888118651944001536,[14],[14],1666163214806,[],Your waiver claim was processed successfully!,13.0,0.0,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666066859394,6,[],561715408029736960,887952402412699648,[10],[10],1666163214806,[],Your waiver claim was processed successfully!,1.0,11.0,,,10.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666064667514,6,[],558483388996636672,887943209001926656,[3],[3],1666064667514,[],,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666060877696,6,[],862881247247052800,887927313353265152,[16],[16],1666163214806,[],This player was claimed by another owner.,11.0,0.0,,,,,,,16.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665938717195,6,[],862499213718704128,887414935075139584,[11],[11],1665938717195,[],,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665936229854,6,[],861702367484178432,887404502410964992,[2],[2],1665936229854,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665933790465,6,[],741144911407095808,887394270871592960,[6],[6],1665933790465,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665878521560,6,[],558483388996636672,887162456282312704,[3],[3],1665878521560,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665878473394,6,[],558483388996636672,887162254259478528,[3],[3],1665878473394,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665866352573,6,[],862881247247052800,887111415851495424,[16],[16],1665866352573,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665866100276,6,[],862881247247052800,887110357641265152,[16],[16],1665866100276,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665852918670,6,[],741144911407095808,887055069978963968,[6],[6],1665852918670,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665799720996,6,[],741144911407095808,886831942761500672,[6],[6],1666163214806,[],Your waiver claim was processed successfully!,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665799698547,6,[],595464158774878208,886831848603447296,[7],[7],1665857838480,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665799673105,6,[],595464158774878208,886831741891936256,[7],[7],1665799673105,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665799610519,6,[],595464158774878208,886831479387492352,[7],[7],1665799610519,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665782256804,6,[],741144911407095808,886758692631212032,[6],[6],1665782256804,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665780235361,6,[],451807541647634432,886750214085029888,[1],[1],1665780235361,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665776469919,6,[],453691856656527360,886734420676173824,[15],[15],1665776469919,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665688515741,6,[],451807541647634432,886365514115559424,[1],[1],1665688515741,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665688366125,6,[],451807541647634432,886364886580682752,[1],[1],1665688366125,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665688282552,6,[],451807541647634432,886364536049938432,[1],[1],1665688282552,[],,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665688034034,6,[],558483388996636672,886363493690105856,[3],[3],1665688034034,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665687944696,6,[],558483388996636672,886363118979375104,[3],[3],1665687944696,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1665687517834,6,[],578293895956312064,886361328590426112,[14],[14],1665687517834,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,
complete,free_agent,1665686947867,6,[],453691856656527360,886358937975451648,[15],[15],1665686947867,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,
complete,free_agent,1665632269342,6,[],561715408029736960,886129599619391488,[10],[10],1665632269342,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,
complete,waiver,1665632253579,6,[],561715408029736960,886129533504385024,[10],[10],1665727625725,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,
complete,free_agent,1665631940261,6,[],862881247247052800,886128219353669632,[16],[16],1665631940261,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,
complete,free_agent,1665631867902,6,[],862881247247052800,886127915857993728,[16],[16],1665631867902,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,
complete,free_agent,1665624897253,6,[],862499213718704128,886098678836858880,[11],[11],1665624897253,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,
complete,free_agent,1665587549110,6,[],862559746694205440,885942029371256832,[13],[13],1665587549110,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,
complete,free_agent,1665579775914,6,[],561715408029736960,885909426224336896,[10],[10],1665579775914,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,
complete,free_agent,1665579051869,6,[],741144911407095808,885906389359517696,[6],[6],1665579051869,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
