status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,drops,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7551,adds_3166,drops_7647,adds_5041,adds_5876,drops_4081,adds_6291,adds_4177,drops_3163,adds_7565,drops_4973,metadata,settings,adds,drops_843,drops_1346,drops_8266,adds_5816,drops_2036,adds_5010,drops_7002,adds_2161,drops_3664,adds_6220,drops_4118,drops_6996,adds_6826,drops_7891,drops_7527,drops_3214,adds_5655,drops_6711,adds_7891,drops_5041,adds_8131,adds_8205,drops_7551,adds_6880,drops_8138,adds_2389,drops_8205,adds_5871,drops_2617,adds_2750,adds_4180,drops_6125,drops_6220,drops_1817,adds_5071,drops_7641,adds_2028,drops_3257,adds_4449,drops_2028,adds_3286,drops_2588,adds_5959,drops_5816,drops_7583,adds_7627,drops_6124,adds_4427,drops_6871,adds_3664,drops_956,adds_5348,drops_5839,adds_2427,drops_2389,adds_8323,drops_4224,drops_3166,drops_6938
complete,free_agent,1667451686070,9,[],861798755085692928,893760786479108096,[9],,[9],1667451686070,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667443759537,9,[],861702367484178432,893727540190113792,[2],,[2],1667443759537,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667424255495,9,[],594730254984077312,893645734308892672,[4],,[4],1667579204494,[],Your waiver claim was processed successfully!,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667410565926,9,[],595464158774878208,893588316094730240,[7],,[7],1667579204494,[],This player was claimed by another owner.,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667409931268,9,[],453691856656527360,893585654146195456,[15],,[15],1667409931268,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667407706447,9,[],741144911407095808,893576322570686464,[6],,[6],1667407706447,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,
complete,free_agent,1667407569348,9,[],741144911407095808,893575747535519744,[6],,[6],1667407569348,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,
complete,free_agent,1667407393529,9,[],741144911407095808,893575010097254400,[6],,[6],1667407393529,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
complete,free_agent,1667406779603,9,[],451807541647634432,893572435105136640,[1],,[1],1667406779603,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
complete,free_agent,1667406763498,9,[],451807541647634432,893572367555719168,[1],,[1],1667406763498,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
complete,free_agent,1667400985920,9,[],862559746694205440,893548134637383680,[13],,[13],1667400985920,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,
complete,free_agent,1667400672927,9,[],862499213718704128,893546821849403392,[11],,[11],1667400672927,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,
complete,free_agent,1667400199682,9,[],862499213718704128,893544836915957760,[11],,[11],1667400199682,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,
complete,free_agent,1667400107162,9,[],862499213718704128,893544448858984448,[11],,[11],1667400107162,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,
complete,free_agent,1667386024637,9,[],548317142968336384,893485382468120576,[8],,[8],1667386024637,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
complete,free_agent,1667373118131,9,[],453691856656527360,893431248658563072,[15],,[15],1667373118131,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
